POINT_ID,NUTS0,NUTS1,NUTS2,TH_LAT,TH_LONG,DATE,OBS_TYPE,GPS_PROJ,GPS_PREC,GPS_LAT,GPS_LONG,GPS_ALT,OBS_DIST,OBS_DIR,LC1,LC1_SPECIES,LC1_PCT,LC2,LC2_SPECIES,LC2_PCT,OBS_RADIUS,LU1,LU2,AREA_SIZE,TREE_HEIGHT_SRV,FEATURE_WIDTH,LAND_MNGT,WM,WM_SOURCE,WM_TYPE,WM_DELIVERY,SOIL_TAKEN,SOIL_PLOUGH,SOIL_CROP,SOIL_STONES,TRANSECT,PHOTO_P,PHOTO_N,PHOTO_E,PHOTO_S,PHOTO_W
50103718,LV,LV0,LV00,56.08514738,21.11096503,22/07/2009,3,WGS84,7,56.08252,21.10842,-2,333,1,E20,,3,8,,0,2,U364,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( E20 C20 )PI,8,1,1,1,1
50083720,LV,LV0,LV00,56.10563972,21.08428367,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,H12,,5,8,,0,2,U364,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( H12 E20 61 E20 H12 )PI,8,2,2,2,2
50143720,LV,LV0,LV00,56.09731389,21.17959997,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,C20,C22,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C20 C10 C20 C10 C20 )PI,8,2,2,2,2
50063722,LV,LV0,LV00,56.12612686,21.05757565,22/07/2009,3,WGS84,4,56.13643,21.03716,5,1710,1,F00,,5,8,,0,1,U140,8,4,0,0,3,8,0,0,0,3,0,0,0,PI( F00 61 F00 )PI,8,1,1,1,1
50043724,LV,LV0,LV00,56.14660879,21.03084093,21/07/2009,1,WGS84,4,56.14659,21.03089,2,4,1,C20,,5,8,,0,2,U120,8,2,1,0,2,8,0,0,0,1,2,4,1,C20 E10 61 C10 32 PI( C10 62 )PI,1,1,1,1,1
50123724,LV,LV0,LV00,56.13554332,21.15806651,22/07/2009,1,WGS84,3,56.13554,21.1581,11,2,1,E20,,5,8,,0,2,U111,8,4,0,0,2,5,0,0,0,3,0,0,0,E20 31 14 PI( E20 10 A E10 E20 )PI,1,1,1,1,1
50163724,LV,LV0,LV00,56.12996345,21.22165401,22/07/2009,1,WGS84,5,56.12995,21.22171,33,4,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,C30 H11 PI( H11 E20 )PI,1,1,1,1,1
50083726,LV,LV0,LV00,56.15881747,21.09955963,22/07/2009,3,WGS84,5,56.15906,21.09534,-1,263,1,E20,,5,8,,0,2,U111,8,3,0,0,3,3,0,0,0,3,0,0,0,PI( E20 14 E20 14 E20 )PI,8,1,1,1,1
50143726,LV,LV0,LV00,56.15047869,21.19500193,22/07/2009,1,WGS84,5,56.15046,21.19502,26,2,1,E20,,5,8,,0,2,U111,8,3,0,0,1,5,0,0,0,1,1,3,1,E20 23 E20,1,1,1,1,1
50043728,LV,LV0,LV00,56.18206571,21.04098533,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,H11,,5,8,,0,2,U364,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( H11 G10 )PI,8,2,2,2,2
50123728,LV,LV0,LV00,56.17098875,21.16832316,22/07/2009,1,WGS84,3,56.17101,21.16832,12,2,1,E20,,5,8,,0,2,U111,8,4,0,0,2,5,0,0,0,2,0,0,0,E20 61 E20 E10,1,1,1,1,1
50163728,LV,LV0,LV00,56.1654031,21.2319667,22/07/2009,1,WGS84,3,56.16544,21.23203,28,5,1,E20,,4,8,,0,2,U111,8,3,0,0,2,5,0,0,0,2,0,0,0,E20 14 31 E20 E10 E30,1,1,1,1,1
50083730,LV,LV0,LV00,56.19426823,21.10977126,22/07/2009,1,WGS84,4,56.19425,21.10979,9,3,1,C20,C22,5,8,,0,2,U120,8,4,2,2,2,8,0,0,0,3,0,0,0,C20 C10,1,1,1,1,1
50023732,LV,LV0,LV00,56.22027421,21.01927866,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,H11,,5,8,,0,2,U364,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( H11 )PI,8,2,2,2,2
50123732,LV,LV0,LV00,56.20643332,21.1786021,22/07/2009,1,WGS84,5,56.20639,21.17857,14,4,1,C10,C1D,5,8,,0,2,U120,8,2,2,2,2,5,0,0,0,3,0,0,0,C10 E10 E20 31 C30 PI( C30 )PI,1,1,1,1,1
50163732,LV,LV0,LV00,56.20084187,21.2423018,22/07/2009,1,WGS84,5,56.2007,21.24273,22,31,1,C10,C12,5,8,,0,2,U120,U150,3,2,2,2,8,0,0,0,3,0,0,0,C10 31 14 E20 C10 E20,1,1,1,1,1
50143734,LV,LV0,LV00,56.22136204,21.21561599,22/07/2009,3,WGS84,4,56.21795,21.19981,16,1050,1,D10,,5,8,,0,2,U120,8,3,1,0,3,8,0,0,0,3,0,0,0,PI( D10 E20 C30 E20 61 )PI,8,1,1,1,1
50003736,LV,LV0,LV00,56.25847971,20.99753348,5/7/09,1,WGS84,8,56.25851,20.99752,-15,2,1,C20,C22,5,8,,0,2,U120,U150,4,2,2,2,8,0,0,0,3,0,0,0,C20,1,1,1,1,1
50063736,LV,LV0,LV00,56.25021383,21.09323747,28/05/2009,1,WGS84,1,56.25022,21.09321,-9,2,1,C30,C32,5,8,,0,2,U120,8,4,2,2,2,8,0,0,0,3,0,0,0,C30 61 C10,1,1,1,1,1
50103736,LV,LV0,LV00,56.24466383,21.157019,22/07/2009,1,WGS84,3,56.24467,21.15698,14,2,1,E10,,5,8,,0,2,U120,U150,3,2,2,2,8,0,0,0,3,0,0,0,E10 14 01 62 E10 E20 C20 PI( C20 )PI,1,1,1,1,1
50183736,LV,LV0,LV00,56.23346932,21.28453093,29/08/2009,3,WGS84,6,56.23098,21.27565,30,616,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 )PI,8,1,1,1,1
50043738,LV,LV0,LV00,56.2707043,21.06644297,5/7/09,1,WGS84,6,56.27071,21.06646,-15,1,1,C10,,5,8,,0,2,U120,U150,4,2,1,2,8,0,0,0,3,0,0,0,C10,1,1,1,1,1
50083738,LV,LV0,LV00,56.26516719,21.1302612,22/07/2009,3,WGS84,7,56.26446,21.13674,-5,406,1,C20,C22,5,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C20 )PI,8,1,1,1,1
50143738,LV,LV0,LV00,56.25680239,21.22595666,29/08/2009,3,WGS84,5,56.26155,21.23916,14,972,1,H12,,5,8,,0,2,U150,8,4,0,0,3,8,0,0,0,3,0,0,0,PI( H12 31 H12 )PI,8,1,1,1,1
50023740,LV,LV0,LV00,56.29118955,21.03962153,25/06/2009,1,WGS84,5,56.29118,21.03961,4,2,1,B23,B23B,5,8,,0,1,U111,8,4,0,0,2,5,0,0,0,3,0,0,0,B23,1,1,1,1,2
50063740,LV,LV0,LV00,56.28566533,21.1034765,28/05/2009,3,WGS84,3,56.2866,21.09711,4,407,1,C30,C32,5,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C30 61 C30 )PI,8,1,1,1,1
50203740,LV,LV0,LV00,56.26608215,21.32683464,29/08/2009,1,WGS84,4,56.26607,21.32687,41,2,1,E20,,5,8,,0,2,U111,8,3,0,0,1,3,0,0,0,3,0,0,0,E20 23 E20 23 B71,1,1,1,1,1
50243740,LV,LV0,LV00,56.26041604,21.39061253,29/08/2009,3,WGS84,5,56.25341,21.35968,41,2070,1,H12,,5,8,,0,2,U364,8,4,0,0,3,8,0,0,0,3,0,0,0,PI( H12 )PI,8,1,1,1,1
53483740,LV,LV0,LV00,55.69820721,26.49155637,4/7/09,1,WGS84,4,55.69821,26.4919,127,22,1,E10,,5,8,,0,2,U400,8,2,1,0,2,8,0,0,0,2,0,0,0,E10 10 E20 10 E20,1,1,1,1,1
50123742,LV,LV0,LV00,56.29504093,21.2043974,21/07/2009,1,WGS84,4,56.29502,21.20443,14,3,1,C30,C32,5,8,,0,2,U120,8,4,2,2,2,8,0,0,0,3,0,0,0,C30 E20 31 01 62 31 01 C30,1,1,1,1,1
50163742,LV,LV0,LV00,56.28943493,21.26823801,29/08/2009,3,WGS84,4,56.2921,21.25602,17,811,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 D10 C30 )PI,8,1,1,1,1
53403742,LV,LV0,LV00,55.73194364,26.37470316,4/7/09,3,WGS84,3,55.73282,26.3725,138,170,1,E20,,5,8,,0,2,U361,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( E20 )PI E20 23 10 E20 61 E20,8,1,1,1,1
53543742,LV,LV0,LV00,55.70331878,26.59214068,3/7/09,3,WGS84,4,55.70317,26.59123,158,58,1,C10,C1D,4,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C10 )PI,8,1,1,1,1
53643742,LV,LV0,LV00,55.68264621,26.74727404,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,C10,C12,5,8,,0,2,U364,8,2,2,2,3,8,0,0,0,3,0,0,0,PI( C10 D20 C10 )PI,8,2,2,2,2
50083744,LV,LV0,LV00,56.31833915,21.14568729,8/6/09,1,WGS84,8,56.31834,21.14568,9,0,1,C30,C32,5,8,,0,2,U120,U150,3,2,2,2,8,0,0,0,3,0,0,0,C30 61 31 C30 61 31 E10 C30 61 31 C30,1,1,1,1,1
50143744,LV,LV0,LV00,56.30996129,21.24150991,29/08/2009,3,WGS84,5,56.3109,21.23717,16,287,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 )PI,8,1,1,1,1
50263744,LV,LV0,LV00,56.29299257,21.4330387,29/08/2009,3,WGS84,5,56.30621,21.44528,20,1660,1,C20,C22,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C20 )PI,8,1,1,1,1
53503744,LV,LV0,LV00,55.72895709,26.53749851,4/7/09,1,WGS84,4,55.72896,26.53751,158,0,1,E20,,5,8,,0,2,U111,8,3,0,0,1,5,0,0,0,3,0,0,0,E20 11 62 01 11 E20 24 10 E20 61 E20 61 E20,1,1,1,1,1
53563744,LV,LV0,LV00,55.71661517,26.63067061,3/7/09,1,WGS84,4,55.71664,26.63074,152,6,1,C10,C11,5,8,,0,2,U400,8,3,2,2,2,8,0,0,0,3,0,0,0,C10 D20 G10,1,1,1,1,1
49983746,LV,LV0,LV00,56.34987511,20.99097998,28/05/2009,3,WGS84,2,56.34492,20.99664,-6,651,1,C30,C32,5,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C30 62 C30 )PI,8,1,1,1,1
50043746,LV,LV0,LV00,56.34161138,21.08690906,25/06/2009,1,WGS84,7,56.34159,21.08693,4,3,1,B13,,5,8,,0,1,U111,8,3,0,0,2,5,0,0,0,3,0,0,0,B13 01 14 31 PI( B11 )PI,1,1,1,1,1
50123746,LV,LV0,LV00,56.33048245,21.21475489,29/08/2009,1,WGS84,8,56.33048,21.21468,45,4,1,C20,C22,5,8,,0,2,U120,8,3,2,2,2,8,0,0,0,3,0,0,0,C20 61 C20 61 C30 61 C20,1,1,1,1,1
50163746,LV,LV0,LV00,56.32487061,21.27865206,28/08/2009,1,WGS84,6,56.32487,21.27864,23,2,1,C20,C22,5,8,,0,2,U120,8,3,2,2,2,8,0,0,0,3,0,0,0,C20 61 C20 C30 32 C30 32 C30,1,1,1,1,1
50223746,LV,LV0,LV00,56.31639366,21.37446538,29/08/2009,3,WGS84,4,56.32188,21.38246,22,786,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 31 C30 31 C30 )PI,8,1,1,1,1
50303746,LV,LV0,LV00,56.30498065,21.50215548,29/08/2009,3,WGS84,8,56.30484,21.49874,16,211,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 )PI,8,1,1,1,1
53363746,LV,LV0,LV00,55.77492652,26.32725987,4/7/09,3,WGS84,11,55.77703,26.32743,141,234,1,D10,,5,8,,0,2,U364,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( D10 C10 )PI,8,1,1,1,1
53403746,LV,LV0,LV00,55.76680777,26.38948947,4/7/09,1,WGS84,3,55.76681,26.38951,122,1,1,E20,,5,8,,0,2,U111,8,3,0,0,2,5,0,0,0,3,0,0,0,E20 31 62 E20 24 E20 10 E20 C10,1,1,1,1,1
53463746,LV,LV0,LV00,55.75457294,26.48278933,4/7/09,1,WGS84,3,55.75452,26.48279,138,6,1,C10,,5,8,,0,2,U150,8,3,1,0,2,8,0,0,0,3,0,0,0,C10 PI( C10 E20 )PI,1,1,1,1,1
53543746,LV,LV0,LV00,55.73815406,26.60710566,3/7/09,1,WGS84,3,55.73814,26.6071,159,1,1,E20,,5,8,,0,2,U111,8,3,0,0,2,3,0,0,0,1,2,3,2,E20 62 10 E20,1,1,1,1,1
53583746,LV,LV0,LV00,55.72989934,26.66922787,3/7/09,1,WGS84,3,55.7299,26.66923,156,0,1,E20,,5,8,,0,2,U111,8,3,0,0,2,5,0,0,0,3,0,0,0,E20 D10 E20 C10 E20,1,1,1,1,1
53643746,LV,LV0,LV00,55.71746069,26.76236608,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,C20,C22,5,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C20 )PI,8,2,2,2,2
50083748,LV,LV0,LV00,56.35378606,21.1559994,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,C20,C22,5,8,,0,2,U120,8,4,2,2,3,8,0,0,0,3,0,0,0,PI( C20 E30 C20 )PI,8,2,2,2,2
50263748,LV,LV0,LV00,56.32841304,21.44360541,29/08/2009,3,WGS84,7,56.32767,21.43751,6,385,1,C30,C32,5,8,,0,2,U120,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( C30 31 C30 )PI,8,1,1,1,1
53323748,LV,LV0,LV00,55.80045445,26.27236015,4/7/09,3,WGS84,6,55.80021,26.26399,141,524,1,E10,,5,8,,0,2,U364,8,3,2,2,3,8,0,0,0,3,0,0,0,PI( E10 C10 E10 10 E10 C10 E10 C10 )PI,8,1,1,1,1
53503748,LV,LV0,LV00,55.76379957,26.55242827,3/7/09,1,WGS84,3,55.7638,26.55243,146,0,1,E20,,5,8,,0,2,U111,8,3,0,0,2,5,0,0,0,2,0,0,0,E20 G10 E20,1,1,1,1,1
53683748,LV,LV0,LV00,55.72653281,26.83201135,2/1/09,3,X,8888,88.888888,88.888888,8888,88888,1,H11,,5,8,,0,2,U400,8,3,0,0,3,8,0,0,0,3,0,0,0,PI( H11 C20 H11 )PI,8,2,2,2,2
49983750,LV,LV0,LV00,56.38533602,21.00116126,28/05/2009,1,WGS84,3,56.38533,21.00112,3,2,1,E10,,5,8,,0,2,U112,8,3,1,0,2,5,0,0,0,3,0,0,0,E10 62 24 A E20 C10 61 B11,1,1,1,1,1
50023750,LV,LV0,LV00,56.37982902,21.06517509,8/6/09,1,WGS84,4,56.37981,21.06517,2,2,1,E20,,3,8,,0,2,U111,8,4,0,0,2,5,0,0,0,3,0,0,0,E20 PI( E20 01 61 14 E20 )PI,1,1,1,1,1
50123750,LV,LV0,LV00,56.36592311,21.22513499,28/08/2009,1,WGS84,6,56.36592,21.22521,8,5,1,C20,C22,5,8,,0,2,U120,8,3,2,2,2,8,0,0,0,3,0,0,0,C20 24 C20 01 62 01 C20,1,1,1,1,1
50163750,LV,LV0,LV00,56.36030541,21.28908884,28/08/2009,1,WGS84,3,56.3598,21.28949,22,62,1,C10,C1D,5,8,,0,2,U120,8,3,2,2,2,8,0,0,0,3,0,0,0,C10 31 C10 E20,1,1,1,1,1
50203750,LV,LV0,LV00,56.35465611,21.35302535,28/08/2009,1,WGS84,4,56.35467,21.35303,29,2,1,B13,,1,8,,0,1,U111,8,3,0,0,2,3,0,0,0,3,0,0,0,B13 E20 B22 E20 23 E20 A E20,1,1,1,1,1
50303750,LV,LV0,LV00,56.3403947,21.51279018,29/08/2009,1,WGS84,4,56.34041,21.51278,29,2,1,B11,,1,8,,0,1,U111,8,3,0,0,2,3,0,0,0,3,0,0,0,B11 E20,1,1,1,1,1
50343750,LV,LV0,LV00,56.33463492,21.57666531,29/08/2009,3,WGS84,3,56.33871,21.57362,24,491,1,E20,,5,8,,0,2,U111,8,2,0,0,3,3,0,0,0,3,0,0,0,PI( E20 31 E20 )PI,8,1,1,1,1
50383750,LV,LV0,LV00,56.3288436,21.64052271,29/08/2009,1,WGS84,4,56.32883,21.64054,25,2,1,B13,,1,8,,0,1,U111,8,3,0,0,2,3,0,0,0,1,2,4,1,B13 E30,1,1,1,1,1
53363750,LV,LV0,LV00,55.80979673,26.34202613,4/7/09,1,WGS84,4,55.80981,26.34205,156,1,1,C10,C12,5,8,,0,2,U120,8,3,2,2,2,8,0,0,0,2,0,0,0,C10 E20 C10 E20 C10 PI( C10 )PI,1,1,1,1,1
53403750,LV,LV0,LV00,55.80166978,26.40430704,4/7/09,1,WGS84,3,55.80167,26.40433,152,0,1,E20,,5,8,,0,2,U111,8,3,0,0,2,5,0,0,0,2,0,0,0,E20 D10 E20 14 E20 D10 02 61 E20 C10 E10,1,1,1,1,1
53443750,LV,LV0,LV00,55.79351256,26.46656414,4/7/09,1,WGS84,3,55.79354,26.46658,102,2,1,C10,C1D,5,8,,0,2,U120,8,4,2,2,2,8,0,0,0,2,0,0,0,C10 E20 C10 G20 C10 PI( E20 )PI,1,1,1,1,1
