POINT_ID,NUTS0,NUTS1,NUTS2,TH_LAT,TH_LONG,DATE,OBS_TYPE,GPS_PROJ,GPS_PREC,GPS_LAT,GPS_LONG,GPS_ALT,OBS_DIST,OBS_DIR,LC1,LC1_SPECIES,LC1_PCT,LC2,LC2_SPECIES,LC2_PCT,OBS_RADIUS,LU1,LU2,AREA_SIZE,TREE_HEIGHT_MAT,TREE_HEIGHT_SRV,FEATURE_WIDTH,LAND_MNGT,LC_LU_SPECIAL_REMARK,PROTECTED_AREA,WM,WM_SOURCE,WM_TYPE,WM_DELIVERY,SOIL_TAKEN,SOIL_PLOUGH,SOIL_CROP,SOIL_STONES,TRANSECT,PHOTO_P,PHOTO_N,PHOTO_E,PHOTO_S,PHOTO_W
50223774,LV,LV0,LV00,56.56435639,21.44860209,27/06/2012,1,1,3,56.56437,21.4486,45,1,1,E20,8,6,8,8,8,2,U111,8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,E20;B21;E20;24;E20;B71;31;E20;G10;C10,1,1,1,1,1
50223784,LV,LV0,LV00,56.65290378,21.47535615,27/06/2012,1,1,3,56.65272,21.47484,64,38,1,G10,8,6,8,8,8,1,U130,8,3,8,8,8,8,7,4,8,8,8,8,4,8,8,8,G10,1,1,1,1,1
50223800,LV,LV0,LV00,56.79456785,21.51846989,23/05/2012,1,1,3,56.79457,21.51846,31,1,1,B11,8,1,8,8,8,1,U111,8,4,8,8,8,2,1,4,5,8,8,8,4,8,8,8,B11,1,1,1,1,1
50223806,LV,LV0,LV00,56.84768815,21.53473587,6/6/12,1,1,3,56.84768,21.53474,33,0,1,E20,8,6,8,8,8,2,U111,8,3,8,8,8,2,7,4,3,8,8,8,4,8,8,8,E20;31;E20;61;E20;24;E20,1,1,1,1,1
50183802,LV,LV0,LV00,56.81801788,21.45921167,6/6/12,1,1,3,56.81804,21.4592,42,1,1,C21,C212,5,8,8,8,2,U120,8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,C21;62;C21;31;C31,1,1,1,1,1
50203794,LV,LV0,LV00,56.74431496,21.4699809,6/6/12,1,1,3,56.74432,21.46997,40,0,1,B32,8,6,8,8,8,1,U111,8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,B32;01;61;01;B32;01;62;E20;24;E20,1,1,1,1,1
50203804,LV,LV0,LV00,56.83285865,21.4969585,6/6/12,1,1,3,56.83285,21.49695,35,1,1,C31,C312,5,8,8,8,2,U120,8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,C31;F40;C31;C21,1,1,1,1,1
50243772,LV,LV0,LV00,56.54378543,21.47538278,27/06/2012,1,1,3,56.54379,21.47539,41,0,1,B12,8,6,8,8,8,1,U111,8,4,8,8,8,2,7,4,3,8,8,8,4,8,8,8,B12;02;31;02;B11,1,1,1,1,1
50243776,LV,LV0,LV00,56.57920251,21.48608373,27/06/2012,1,1,3,56.5792,21.4861,48,1,1,E30,8,6,8,8,8,2,U420,8,3,8,8,8,2,7,4,8,8,8,8,4,8,8,8,E30;10;E30;24;E30;31;C10;B16,1,1,1,1,1
50243798,LV,LV0,LV00,56.77398017,21.5453611,23/05/2012,1,1,3,56.77399,21.5453,45,4,1,C31,C312,6,8,8,8,2,U120,8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,C31;24;E20;B32;31;01;61;01;B32;24;B32,1,1,1,1,1
