system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=65.24705882352941}, {classification=2, sum=4.0}, {classification=3, sum=269784.6352941178}, {classification=4, sum=20301.709803921534}, {classification=5, sum=16900.62745098039}, {classification=6, sum=759.9764705882353}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=295.37254901960785}, {classification=2, sum=32.0}, {classification=3, sum=959388.7764705864}, {classification=4, sum=54775.81176470588}, {classification=5, sum=9800.56862745098}, {classification=6, sum=3103.7411764705885}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=363.8705882352941}, {classification=2, sum=58.0}, {classification=3, sum=1524447.6470588166}, {classification=4, sum=225993.22352941195}, {classification=5, sum=12266.843137254904}, {classification=6, sum=45367.24705882352}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=366.0}, {classification=2, sum=80.0}, {classification=3, sum=1922334.1999999825}, {classification=4, sum=117071.70196078469}, {classification=5, sum=29968.117647058825}, {classification=6, sum=41669.176470588325}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=164.0}, {classification=2, sum=74.0}, {classification=3, sum=916903.9882352946}, {classification=4, sum=31334.27450980392}, {classification=5, sum=26503.60784313725}, {classification=6, sum=5008.941176470588}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=105.0}, {classification=2, sum=14.0}, {classification=3, sum=309926.28235294134}, {classification=4, sum=8624.674509803923}, {classification=5, sum=3299.3725490196075}, {classification=6, sum=1386.3294117647058}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=69.0}, {classification=2, sum=12.0}, {classification=3, sum=214228.03529411764}, {classification=4, sum=10062.854901960785}, {classification=5, sum=4189.980392156863}, {classification=6, sum=1307.6}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=48.12549019607843}, {classification=2, sum=4.0}, {classification=3, sum=198545.28235294129}, {classification=4, sum=7553.490196078431}, {classification=5, sum=33899.666666666664}, {classification=6, sum=2122.658823529412}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=1, sum=1.8901960784313725}, {classification=3, sum=9342.517647058809}, {classification=4, sum=11034.776470588233}, {classification=5, sum=115.92156862745097}, {classification=6, sum=7988.658823529416}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=86.27843137254902}, {classification=2, sum=1.4901960784313726}, {classification=3, sum=166969.6588235297}, {classification=4, sum=1181.4745098039216}, {classification=5, sum=960.0}, {classification=6, sum=414.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
