system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=122.0}, {classification=2, sum=4.0}, {classification=3, sum=228454.423529412}, {classification=4, sum=21443.63921568623}, {classification=5, sum=23115.0}, {classification=6, sum=390.1411764705882}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=304.0}, {classification=2, sum=22.0}, {classification=3, sum=870924.3882352931}, {classification=4, sum=45824.20392156862}, {classification=5, sum=30289.37254901961}, {classification=6, sum=2566.070588235294}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=608.8705882352941}, {classification=2, sum=98.58823529411765}, {classification=3, sum=1556246.905882348}, {classification=4, sum=214249.06666666683}, {classification=5, sum=5632.490196078432}, {classification=6, sum=41633.200000000004}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=625.2470588235294}, {classification=2, sum=206.0}, {classification=3, sum=1920926.7529411758}, {classification=4, sum=127446.05490196116}, {classification=5, sum=15801.21568627451}, {classification=6, sum=41395.200000000055}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=319.0}, {classification=2, sum=48.0}, {classification=3, sum=966754.8235294123}, {classification=4, sum=33843.45098039216}, {classification=5, sum=30680.019607843133}, {classification=6, sum=5042.4}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=109.8078431372549}, {classification=2, sum=4.0}, {classification=3, sum=240698.2470588237}, {classification=4, sum=7982.494117647059}, {classification=5, sum=5276.254901960785}, {classification=6, sum=1321.8352941176472}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=112.0}, {classification=2, sum=6.0}, {classification=3, sum=287544.6588235294}, {classification=4, sum=10022.164705882346}, {classification=5, sum=1885.0}, {classification=6, sum=1085.5294117647059}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=68.12549019607843}, {classification=2, sum=18.0}, {classification=3, sum=257226.83529411774}, {classification=4, sum=7594.35294117647}, {classification=5, sum=25645.0}, {classification=6, sum=2015.7411764705882}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=2, sum=4.0}, {classification=3, sum=11156.164705882335}, {classification=4, sum=10051.984313725481}, {classification=5, sum=267.5098039215686}, {classification=6, sum=6237.105882352946}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=37.76470588235294}, {classification=3, sum=150779.27058823546}, {classification=4, sum=451.9843137254902}, {classification=5, sum=525.0}, {classification=6, sum=156.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
