"","pixels","label","area","year","transition","previous_class","current_class"
"1",47,3,1410,"1990","1","1","3"
"2",298.498039215686,4,8954.94117647059,"1990","1","1","3"
"3",540,5,16200,"1990","1","1","3"
"4",770,6,23100,"1990","1","1","3"
"5",222.125490196078,7,6663.76470588235,"1990","1","1","3"
"6",56,8,1680,"1990","1","1","3"
"7",69,9,2070,"1990","1","1","3"
"8",22,10,660,"1990","1","1","3"
"9",4,11,120,"1990","1","1","3"
"10",309,19,9270,"1990","1","1","3"
"11",639,20,19170,"1990","1","1","3"
"12",308,21,9240,"1990","1","1","3"
"13",241.874509803922,22,7256.23529411765,"1990","1","1","3"
"14",234,23,7020,"1990","1","1","3"
"15",89,24,2670,"1990","1","1","3"
"16",111,25,3330,"1990","1","1","3"
"17",85,26,2550,"1990","1","1","3"
"18",8,27,240,"1990","1","1","3"
"19",199,35,5970,"1990","1","1","3"
"20",286,36,8580,"1990","1","1","3"
"21",214,37,6420,"1990","1","1","3"
"22",257,38,7710,"1990","1","1","3"
"23",191,39,5730,"1990","1","1","3"
"24",132,40,3960,"1990","1","1","3"
"25",80,41,2400,"1990","1","1","3"
"26",28,42,840,"1990","1","1","3"
"27",NA,43,NA,"1990","1","1","3"
"28",11,49,330,"1990","1","1","3"
"29",163,50,4890,"1990","1","1","3"
"30",159.498039215686,51,4784.94117647059,"1990","1","1","3"
"31",163,52,4890,"1990","1","1","3"
"32",185,53,5550,"1990","1","1","3"
"33",133.250980392157,54,3997.52941176471,"1990","1","1","3"
"34",80.7490196078431,55,2422.47058823529,"1990","1","1","3"
"35",10,56,300,"1990","1","1","3"
"36",4,64,120,"1990","1","1","3"
"37",175.96862745098,65,5279.05882352941,"1990","1","1","3"
"38",198,66,5940,"1990","1","1","3"
"39",64.7529411764706,67,1942.58823529412,"1990","1","1","3"
"40",82.2470588235294,68,2467.41176470588,"1990","1","1","3"
"41",1,69,30,"1990","1","1","3"
"42",344,79,10320,"1990","1","1","3"
"43",462.250980392157,80,13867.5294117647,"1990","1","1","3"
"44",423,81,12690,"1990","1","1","3"
"45",211,82,6330,"1990","1","1","3"
"46",130,83,3900,"1990","1","1","3"
"47",35,84,1050,"1990","1","1","3"
