"","GPS_LAT","GPS_LONG","class"
"1",56.5792,21.4861,"1"
"2",56.65908,21.60954,"1"
"3",57.3662,22.23635,"1"
"4",57.27277,22.64366,"1"
"5",56.60384,22.58513,"1"
"6",56.40022,22.61673,"1"
"7",56.35545,22.70073,"1"
"8",56.50149,22.88178,"1"
"9",56.5714,23.2702,"1"
"10",56.85811,23.67274,"1"
"11",56.87909,23.64689,"1"
"12",56.90096,23.72543,"1"
"13",56.96918,23.84615,"1"
"14",56.92188,24.26644,"1"
"15",56.55608,24.42789,"1"
"16",56.48899,24.5347,"1"
"17",56.77785,25.04902,"1"
"18",56.66996,25.34038,"1"
"19",56.53602,25.38589,"1"
"20",56.64097,25.42893,"1"
"21",56.20987,25.65126,"1"
"22",56.51654,25.84534,"1"
"23",56.59993,25.91401,"1"
"24",56.68722,25.9511,"1"
"25",56.08051,26.524,"1"
"26",55.73308,26.50648,"1"
"27",55.79614,26.86243,"1"
"28",55.90176,27.30528,"1"
"29",55.82809,27.4372,"1"
"30",56.85212,27.51021,"1"
"31",56.7263,27.48474,"1"
"32",56.96923,27.59983,"1"
"33",57.35701,26.0377,"1"
"34",57.50471,26.61833,"1"
"35",57.29695,26.6607,"1"
"36",57.50932,26.88444,"1"
"37",56.77688,25.82117,"1"
"38",57.15427,26.76637,"1"
"39",56.98927,26.75923,"1"
"40",56.67499,27.19691,"1"
"41",57.11235,27.22455,"1"
"42",56.58707,27.15029,"1"
"43",56.7928,27.27758,"1"
"44",56.94045,22.49771,"1"
"45",57.22242,21.79355,"1"
"46",57.39942,21.87577,"1"
"47",57.21059,21.94969,"1"
"48",56.93417,22.56243,"1"
"49",56.881555,22.91207,"1"
"50",56.98293,25.63871,"1"
"51",57.23641,26.70148,"1"
"52",55.92524,26.16048,"1"
"53",55.82317,26.38057,"1"
"54",55.73191,26.374599,"1"
"55",55.76681,26.38949,"1"
"56",57.32506,27.56551,"1"
"57",56.06969,26.88375,"1"
"58",57.17289,27.73205,"1"
"59",56.26382,26.6704,"1"
"60",56.75649,27.66821,"1"
"61",56.68275,27.66695,"1"
"62",56.70007,27.67524,"1"
"63",56.73477,27.69168,"1"
"64",56.62632,27.67395,"1"
"65",56.7131,27.71544,"1"
"66",56.76061,27.77176,"1"
"67",56.42239,27.67864,"1"
"68",56.54433,27.73681,"1"
"69",56.4394,27.82104,"1"
"70",56.29631,27.78685,"1"
"71",56.48698,27.87731,"1"
"72",56.53005,27.96531,"1"
"73",56.26574,27.872776,"1"
"74",56.38256,27.96186,"1"
"75",56.10088,27.8618,"1"
"76",56.48199,28.0432,"1"
"77",56.07913,27.88483,"1"
"78",56.14608,27.91811,"1"
"79",57.20054,25.66313,"1"
"80",57.10705,25.82696,"1"
"81",56.99829,25.81431,"1"
"82",57.03085,25.99758,"1"
"83",57.18522,26.23512,"1"
"84",56.19734,26.4751,"1"
"85",56.42538,26.8422,"1"
"86",56.15202,26.25651,"1"
"87",56.05659,26.28216,"1"
"88",56.26188,26.40333,"1"
"89",57.35506,27.0645,"1"
"90",56.29581,26.98454,"1"
"91",56.29024,27.05126,"1"
"92",56.35264,27.11043,"1"
"93",56.44836,27.22106,"1"
"94",56.16265,21.02539,"1"
"95",57.58456,24.731,"1"
"96",57.45075,24.77934,"1"
"97",56.15258,21.07386,"1"
"98",56.72311,21.29794,"1"
"99",56.69741,21.58819,"1"
"100",56.45856,21.61429,"1"
"101",56.51767,21.76427,"1"
"102",56.35257,21.77907,"1"
"103",56.47399,21.02672,"1"
"104",56.73711,23.42071,"1"
"105",57.57142,24.52038,"1"
"106",57.56415,24.58591,"1"
"107",57.71101,24.74809,"1"
"108",57.32704,24.89952,"1"
"109",57.99271,25.17597,"1"
"110",57.79238,25.15996,"1"
"111",57.96757,25.23467,"1"
"112",57.05806,25.16281,"1"
