"","GPS_LAT","GPS_LONG","class"
"1",57.53567,22.35201,"6"
"2",56.66814,23.03827,"6"
"3",56.98534,23.853995,"6"
"4",56.7919,23.94934,"6"
"5",57.02745,24.13867,"6"
"6",56.9044,24.09227,"6"
"7",56.95365,24.14402,"6"
"8",57.02035,24.20324,"6"
"9",56.98529,24.18941,"6"
"10",56.92897,24.20197,"6"
"11",56.92154,24.43425,"6"
"12",56.86206,24.31067,"6"
"13",56.91116,24.36441,"6"
"14",56.76409,25.00997,"6"
"15",57.33426,25.30794,"6"
"16",56.69653,25.11678,"6"
"17",56.6074,25.24629,"6"
"18",56.19593,25.31462,"6"
"19",56.49446,20.99974,"6"
"20",56.58945,26.14403,"6"
"21",56.38545,26.15678,"6"
"22",55.96366,26.57263,"6"
"23",57.09933,27.59444,"6"
"24",57.02979,27.69706,"6"
"25",57.89977,25.34426,"6"
"26",56.67307,22.80743,"6"
"27",56.95012,24.00854,"6"
"28",57.05724,21.63287,"6"
"29",57.04733,22.33255,"6"
"30",56.98413,22.98104,"6"
"31",56.97437,23.07813,"6"
"32",56.94324,24.0728,"6"
"33",56.97823,24.08631,"6"
"34",57.04149,24.17767,"6"
"35",56.62326,24.15322,"6"
"36",57.44139,25.49283,"6"
"37",57.31101,25.81273,"6"
"38",55.86329,26.49682,"6"
"39",56.03069,26.89965,"6"
"40",55.81772,26.83897,"6"
"41",56.50967,27.31754,"6"
"42",56.50064,27.37942,"6"
"43",56.45875,27.39408,"6"
"44",57.36822,27.10506,"6"
"45",56.60003,27.59498,"6"
"46",56.79132,27.68495,"6"
"47",56.14941,27.51748,"6"
"48",56.11013,27.53319,"6"
"49",57.18883,25.45432,"6"
"50",57.44428,26.07612,"6"
"51",57.2414,26.80732,"6"
"52",56.70415,27.10293,"6"
"53",56.17826,26.89873,"6"
"54",56.55688,27.23731,"6"
"55",56.40973,21.13949,"6"
"56",56.4758,21.42202,"6"
"57",56.38442,21.42756,"6"
"58",56.46433,21.5502,"6"
"59",56.50946,21.03816,"6"
"60",56.54489,21.04725,"6"
"61",56.59122,23.77537,"6"
"62",56.46121,23.79439,"6"
"63",57.6597,24.38433,"6"
"64",57.14804,24.86046,"6"
"65",57.30582,24.92493,"6"
"66",56.85542,25.01307,"6"
"67",57.44793,24.64173,"6"
"68",57.02168,24.84411,"6"
"69",57.64106,25.20016,"6"
