"","GPS_LAT","GPS_LONG","class"
"1",57.15547,22.53642,"2"
"2",56.95288,23.64068,"2"
"3",56.91846,24.13084,"2"
"4",56.59356,24.74173,"2"
"5",56.62861,24.75546,"2"
"6",56.46056,24.62346,"2"
"7",57.11313,25.62596,"2"
"8",55.89973,26.21559,"2"
"9",55.90159,27.17227,"2"
"10",56.90941,23.35658,"2"
"11",56.83749,26.79216,"2"
"12",56.9069,21.68615,"2"
"13",56.95102,22.0002,"2"
"14",57.06437,22.90832,"2"
"15",57.54044,25.4322,"2"
"16",57.29959,25.60322,"2"
"17",57.23326,25.8473,"2"
"18",55.92317,27.14956,"2"
"19",56.52951,26.75491,"2"
"20",56.05421,27.53854,"2"
"21",57.42933,25.28327,"2"
"22",57.16557,25.64831,"2"
"23",56.61024,21.13228,"2"
"24",57.23664,24.72718,"2"
"25",56.58827,21.58789,"2"
"26",56.44009,23.65443,"2"
"27",57.01043,24.94087,"2"
