"","GPS_LAT","GPS_LONG","class"
"1",56.81804,21.4592,"0"
"2",56.83285,21.49695,"0"
"3",56.77399,21.5453,"0"
"4",56.77109,21.57767,"0"
"5",56.84189,21.59943,"0"
"6",57.45547,21.86004,"0"
"7",57.579298,21.89992,"0"
"8",57.27557,21.83601,"0"
"9",57.31095,21.84733,"0"
"10",56.69156,21.65267,"0"
"11",56.61786,21.66303,"0"
"12",56.65863,21.65762,"0"
"13",56.81257,21.72331,"0"
"14",57.37875,21.90289,"0"
"15",56.68574,21.71709,"0"
"16",56.84499,21.76674,"0"
"17",57.58799,22.00485,"0"
"18",57.47587,22.03586,"0"
"19",57.49357,22.04168,"0"
"20",56.64745,21.73835,"0"
"21",57.28434,21.93982,"0"
"22",57.60225,22.04437,"0"
"23",56.6268,21.76507,"0"
"24",57.45819,22.03009,"0"
"25",57.43768,22.04066,"0"
"26",57.47286,22.06874,"0"
"27",56.85085,21.9016,"0"
"28",57.38145,22.07252,"0"
"29",57.41677,22.08412,"0"
"30",57.48842,22.11071,"0"
"31",57.4668,22.12877,"0"
"32",56.63267,21.89916,"0"
"33",57.35769,22.13228,"0"
"34",57.39307,22.14388,"0"
"35",57.4284,22.15561,"0"
"36",56.8389,22.03099,"0"
"37",57.38698,22.20949,"0"
"38",57.47568,22.25554,"0"
"39",57.46069,22.20015,"0"
"40",56.65316,21.93099,"0"
"41",56.82423,21.99296,"0"
"42",57.4784,22.20603,"0"
"43",57.49807,22.22746,"0"
"44",57.61978,22.25325,"0"
"45",57.63742,22.25913,"0"
"46",57.47534,22.23889,"0"
"47",57.61667,22.28631,"0"
"48",57.66972,22.30409,"0"
"49",56.69146,22.05021,"0"
"50",57.46825,22.27208,"0"
"51",57.68897,22.34023,"0"
"52",57.38081,22.27494,"0"
"53",57.416161,22.28684,"0"
"54",57.48685,22.3105,"0"
"55",57.64586,22.36412,"0"
"56",57.11266,22.21996,"0"
"57",57.13035,22.22578,"0"
"58",57.43074,22.32556,"0"
"59",57.46955,22.32824,"0"
"60",57.55442,22.36718,"0"
"61",57.6982,22.41472,"0"
"62",57.71461,22.42084,"0"
"63",57.1273,22.25831,"0"
"64",57.16258,22.27005,"0"
"65",57.25109,22.2981,"0"
"66",57.47017,22.36835,"0"
"67",57.59932,22.42558,"0"
"68",57.09482,22.27671,"0"
"69",57.1949,22.31431,"0"
"70",57.35391,22.36736,"0"
"71",57.38925,22.37927,"0"
"72",57.42458,22.39117,"0"
"73",57.58507,22.45787,"0"
"74",57.15647,22.33514,"0"
"75",57.43906,22.42985,"0"
"76",57.63342,22.49619,"0"
"77",57.08293,22.34416,"0"
"78",57.20638,22.38541,"0"
"79",57.489,22.48074,"0"
