"","GPS_LAT","GPS_LONG","class"
"1",56.56437,21.4486,"3"
"2",56.79457,21.51846,"3"
"3",56.84768,21.53474,"3"
"4",56.74432,21.46997,"3"
"5",56.54379,21.47539,"3"
"6",56.70314,21.52379,"3"
"7",56.64716,21.53974,"3"
"8",56.80649,21.58855,"3"
"9",56.53804,21.5396,"3"
"10",56.49975,21.56094,"3"
"11",56.74759,21.63677,"3"
"12",56.70928,21.65811,"3"
"13",56.47915,21.58762,"3"
"14",56.51456,21.5984,"3"
"15",56.63778,21.64333,"3"
"16",56.58247,21.65216,"3"
"17",56.74175,21.7013,"3"
"18",56.77716,21.71231,"3"
"19",57.61734,22.08245,"3"
"20",56.7182,21.7603,"3"
"21",56.80667,21.78794,"3"
"22",57.51427,22.01458,"3"
"23",56.60909,21.7595,"3"
"24",56.83615,21.8637,"3"
"25",56.6209,21.8293,"3"
"26",56.74474,21.86812,"3"
"27",56.83021,21.92833,"3"
"28",56.79185,21.94944,"3"
"29",57.37233,22.17085,"3"
"30",57.44267,22.19834,"3"
"31",56.80655,21.98736,"3"
"32",56.84192,21.99863,"3"
"33",57.58135,22.27434,"3"
"34",57.5752,22.34023,"3"
"35",57.50143,22.34932,"3"
"36",57.62509,22.39114,"3"
"37",56.68542,22.11465,"3"
"38",57.569,22.40609,"3"
"39",56.66471,22.14115,"3"
"40",57.0712,22.27339,"3"
"41",57.45989,22.40307,"3"
"42",57.33005,22.42689,"3"
"43",57.365367,22.43881,"3"
"44",56.65556,22.2376,"3"
"45",57.0973,22.38262,"3"
"46",56.7232,22.29277,"3"
"47",57.32381,22.49231,"3"
"48",57.33833,22.53102,"3"
"49",57.42663,22.5611,"3"
"50",56.75238,22.36875,"3"
"51",57.22925,22.52773,"3"
"52",57.54257,22.63979,"3"
"53",57.43796,22.63272,"3"
"54",56.71396,22.38936,"3"
"55",56.69009,22.4479,"3"
"56",57.48457,22.71665,"3"
"57",56.62775,22.5268,"3"
"58",57.19265,22.71724,"3"
"59",57.22795,22.72941,"3"
"60",56.69525,22.58242,"3"
"61",57.23921,22.80072,"3"
"62",56.76273,22.63823,"3"
"63",57.04194,22.76638,"3"
"64",57.27129,22.84557,"3"
"65",56.38439,22.77625,"3"
"66",56.47262,22.80589,"3"
"67",56.5079,22.81779,"3"
"68",56.63139,22.85965,"3"
"69",56.68579,22.67888,"3"
"70",56.80935,22.72056,"3"
"71",56.84464,22.73252,"3"
"72",57.16222,22.8414,"3"
"73",57.25043,22.87206,"3"
"74",56.43552,22.62842,"3"
"75",56.62969,22.69323,"3"
"76",57.22959,22.8985,"3"
"77",56.7228,22.8576,"3"
"78",56.37943,22.6428,"3"
"79",56.45002,22.66625,"3"
"80",56.60886,22.71938,"3"
"81",56.66181,22.7372,"3"
"82",56.76768,22.77306,"3"
"83",56.82061,22.79106,"3"
"84",56.46451,22.70408,"3"
"85",56.58804,22.74553,"3"
"86",57.38181,23.01956,"3"
"87",56.47898,22.74195,"3"
"88",56.51427,22.75381,"3"
"89",56.54958,22.76567,"3"
"90",56.79659,22.84951,"3"
"91",57.27277,23.01489,"3"
"92",56.44051,22.76208,"3"
"93",56.59931,22.81561,"3"
"94",56.75808,22.86965,"3"
"95",56.811,22.88777,"3"
"96",57.28713,23.05374,"3"
"97",56.6811,22.90982,"3"
"98",56.62173,22.9559,"3"
"99",56.74516,22.99838,"3"
"100",56.81569,23.0228,"3"
"101",56.41649,22.82001,"3"
"102",56.734,22.92796,"3"
"103",56.378,22.84002,"3"
"104",56.69551,22.948,"3"
"105",56.76603,22.97229,"3"
"106",56.40686,22.91572,"3"
"107",56.44213,22.92769,"3"
"108",56.72429,23.02444,"3"
"109",56.75954,23.03666,"3"
"110",56.42127,22.95364,"3"
"111",56.50945,22.98371,"3"
"112",56.73866,23.06273,"3"
"113",56.7608,23.2037,"3"
"114",56.52059,23.05372,"3"
"115",56.60873,23.08416,"3"
"116",56.64399,23.09637,"3"
"117",56.76738,23.13933,"3"
"118",56.37629,23.03725,"3"
"119",56.41155,23.04932,"3"
"120",56.42919,23.05539,"3"
"121",56.46444,23.0675,"3"
"122",56.49969,23.07963,"3"
"123",56.78172,23.17768,"3"
"124",56.81697,23.19006,"3"
"125",56.85221,23.2025,"3"
"126",56.3554,23.06307,"3"
"127",56.4788,23.1055,"3"
"128",56.6022,23.14826,"3"
"129",56.41282,23.21485,"3"
"130",56.69472,23.31363,"3"
"131",56.72994,23.32608,"3"
"132",56.33452,23.08888,"3"
"133",56.49316,23.14354,"3"
"134",56.70464,23.21729,"3"
"135",56.81036,23.25451,"3"
"136",56.86322,23.27321,"3"
"137",56.34888,23.12676,"3"
"138",56.73657,23.26181,"3"
"139",56.39847,23.17687,"3"
"140",56.43373,23.18907,"3"
"141",56.46896,23.20131,"3"
"142",56.55708,23.23202,"3"
"143",56.62755,23.2567,"3"
"144",56.39189,23.2406,"3"
"145",56.48006,23.27395,"3"
"146",56.55046,23.29602,"3"
"147",56.60331,23.31461,"3"
"148",56.709,23.35197,"3"
"149",56.76184,23.37074,"3"
"150",56.79707,23.38331,"3"
"151",56.42051,23.31664,"3"
"152",56.45574,23.329,"3"
"153",56.68805,23.37783,"3"
"154",56.57904,23.37243,"3"
"155",56.61426,23.3849,"3"
"156",56.64949,23.39739,"3"
"157",56.4348,23.3547,"3"
"158",56.47003,23.3671,"3"
"159",56.50525,23.37951,"3"
"160",56.54048,23.39195,"3"
"161",56.59331,23.41067,"3"
"162",56.41385,23.38038,"3"
"163",56.44909,23.39279,"3"
