"","LAT","LONG","class","name"
"1",56.56437,21.4486,3,"intensive"
"2",56.79457,21.51846,3,"intensive"
"3",56.84768,21.53474,3,"intensive"
"4",56.74432,21.46997,3,"intensive"
"5",56.54379,21.47539,3,"intensive"
"6",56.70314,21.52379,3,"intensive"
"7",56.64716,21.53974,3,"intensive"
"8",56.80649,21.58855,3,"intensive"
"9",56.53804,21.5396,3,"intensive"
"10",56.49975,21.56094,3,"intensive"
"11",56.74759,21.63677,3,"intensive"
"12",56.70928,21.65811,3,"intensive"
"13",56.47915,21.58762,3,"intensive"
"14",56.51456,21.5984,3,"intensive"
"15",56.63778,21.64333,3,"intensive"
"16",56.58247,21.65216,3,"intensive"
"17",56.74175,21.7013,3,"intensive"
"18",56.77716,21.71231,3,"intensive"
"19",57.61734,22.08245,3,"intensive"
"20",56.7182,21.7603,3,"intensive"
"21",56.80667,21.78794,3,"intensive"
"22",57.51427,22.01458,3,"intensive"
"23",56.60909,21.7595,3,"intensive"
"24",56.83615,21.8637,3,"intensive"
"25",56.6209,21.8293,3,"intensive"
"26",56.74474,21.86812,3,"intensive"
"27",56.83021,21.92833,3,"intensive"
"28",56.79185,21.94944,3,"intensive"
"29",57.37233,22.17085,3,"intensive"
"30",57.44267,22.19834,3,"intensive"
"31",56.80655,21.98736,3,"intensive"
"32",56.84192,21.99863,3,"intensive"
"33",57.58135,22.27434,3,"intensive"
"34",57.5752,22.34023,3,"intensive"
"35",57.50143,22.34932,3,"intensive"
"36",57.62509,22.39114,3,"intensive"
"37",56.68542,22.11465,3,"intensive"
"38",57.569,22.40609,3,"intensive"
"39",56.66471,22.14115,3,"intensive"
"40",57.0712,22.27339,3,"intensive"
"41",57.45989,22.40307,3,"intensive"
"42",57.33005,22.42689,3,"intensive"
"43",57.365367,22.43881,3,"intensive"
"44",56.65556,22.2376,3,"intensive"
"45",57.0973,22.38262,3,"intensive"
"46",56.7232,22.29277,3,"intensive"
"47",57.32381,22.49231,3,"intensive"
"48",57.33833,22.53102,3,"intensive"
"49",57.42663,22.5611,3,"intensive"
"50",56.75238,22.36875,3,"intensive"
"51",57.22925,22.52773,3,"intensive"
