"","GPS_LAT","GPS_LONG","class"
"1",56.65272,21.47484,"4"
"2",56.71156,21.62578,"4"
"3",57.48867,22.27501,"4"
"4",57.15951,22.30382,"4"
"5",57.17806,22.67871,"4"
"6",56.80601,22.75376,"4"
"7",56.51405,23.11761,"4"
"8",56.91814,23.68426,"4"
"9",56.98781,23.46993,"4"
"10",56.49077,23.34195,"4"
"11",57.00185,23.48808,"4"
"12",56.91429,23.65977,"4"
"13",56.93228,23.66601,"4"
"14",56.9429,23.73556,"4"
"15",56.98288,23.88429,"4"
"16",57.05118,24.14716,"4"
"17",57.03571,24.08646,"4"
"18",56.99839,24.10096,"4"
"19",57.00307,24.17851,"4"
"20",56.85466,24.20556,"4"
"21",56.8165,24.22687,"4"
"22",56.83421,24.23219,"4"
"23",56.86985,24.24797,"4"
"24",56.84923,24.26888,"4"
"25",56.85153,24.32329,"4"
"26",56.9899,24.35275,"4"
"27",56.84634,24.34015,"4"
"28",57.08315,24.46723,"4"
"29",56.81846,24.5603,"4"
"30",56.72179,24.75997,"4"
"31",56.39697,24.69838,"4"
"32",56.70891,24.85499,"4"
"33",57.07357,25.34012,"4"
"34",56.61327,25.0493,"4"
"35",57.08772,25.37846,"4"
"36",56.97881,25.36578,"4"
"37",56.59996,25.3118,"4"
"38",56.68362,25.37939,"4"
"39",57.06235,25.73995,"4"
"40",57.09446,25.73948,"4"
"41",56.56846,25.56592,"4"
"42",56.57405,25.50338,"4"
"43",56.37909,25.61979,"4"
"44",56.55338,25.69229,"4"
"45",57.18245,25.96134,"4"
"46",56.52446,25.78191,"4"
"47",56.6389,25.8972,"4"
"48",56.48129,25.86126,"4"
"49",57.00147,26.08863,"4"
"50",56.54979,26.02676,"4"
"51",56.5613,26.36538,"4"
"52",55.84473,26.36001,"4"
"53",57.44116,27.05449,"4"
"54",57.43715,27.0002,"4"
"55",56.06499,26.48144,"4"
"56",57.43599,27.1019,"4"
"57",55.90593,26.44748,"4"
"58",56.23017,26.92515,"4"
"59",56.06057,26.81685,"4"
"60",56.04548,27.07418,"4"
"61",56.88246,27.55979,"4"
"62",56.85857,21.20614,"4"
"63",56.33123,25.10378,"4"
"64",57.90553,25.76244,"4"
"65",57.37965,26.15079,"4"
"66",57.37576,26.18315,"4"
"67",57.48757,26.61067,"4"
"68",57.5897,26.96549,"4"
"69",56.37001,25.55076,"4"
"70",56.85426,26.66409,"4"
"71",56.79433,26.9444,"4"
"72",56.76035,26.96545,"4"
"73",56.68122,26.93813,"4"
"74",56.67673,26.98046,"4"
"75",56.98703,27.20113,"4"
"76",56.89319,24.18651,"4"
"77",57.39306,21.53629,"4"
"78",57.33726,21.58443,"4"
"79",57.37123,21.59247,"4"
"80",57.43773,21.65532,"4"
"81",57.2581,21.6288,"4"
"82",57.18087,21.6715,"4"
"83",57.08159,21.77488,"4"
"84",56.90091,21.75156,"4"
"85",56.93021,22.02852,"4"
"86",57.17125,22.13917,"4"
"87",57.24274,22.19514,"4"
"88",57.41686,22.4919,"4"
"89",57.30558,22.69522,"4"
"90",57.21354,22.69059,"4"
"91",57.37031,22.94863,"4"
"92",57.04556,23.06879,"4"
"93",57.05698,24.04772,"4"
"94",56.91586,24.16435,"4"
"95",55.92633,26.58839,"4"
"96",57.53066,25.35942,"4"
"97",57.23572,25.67953,"4"
"98",57.29852,25.84265,"4"
