year,previous_class,current_class,transition,pixels,area,years_since,event
1990,1,3,1,35856.33,1075689.9,-1,SUC
1990,1,2,2,0,0,-1,SUC
1990,2,1,3,9,270,-1,SUC
1990,2,3,4,2099.502,62985.06,-1,SUC
1990,3,1,5,54254.7,1627641,-1,SUC
1990,3,2,6,2302,69060,-1,SUC
1991,1,3,1,52736.17,1582085.1,0,SUC
1991,1,2,2,2,60,0,SUC
1991,2,1,3,2,60,0,SUC
1991,2,3,4,2244,67320,0,SUC
1991,3,1,5,59222.88,1776686.4,0,SUC
1991,3,2,6,1873.925,56217.75,0,SUC
1992,1,3,1,71192.67,2135780.1,1,SUC
1992,1,2,2,3,90,1,SUC
1992,2,1,3,0,0,1,SUC
1992,2,3,4,2212.925,66387.75,1,SUC
1992,3,1,5,22458.48,673754.4,1,SUC
1992,3,2,6,1802.533,54075.99,1,SUC
1993,1,3,1,20321.58,609647.4,2,SUC
1993,1,2,2,0,0,2,SUC
1993,2,1,3,1,30,2,SUC
1993,2,3,4,1706.894,51206.82,2,SUC
1993,3,1,5,53028.69,1590860.7,2,SUC
1993,3,2,6,2308.251,69247.53,2,SUC
1994,1,3,1,47243.4,1417302,3,SUC
1994,1,2,2,5,150,3,SUC
1994,2,1,3,2,60,3,SUC
1994,2,3,4,2038.251,61147.53,3,SUC
1994,3,1,5,15896.42,476892.6,3,SUC
1994,3,2,6,1952.808,58584.24,3,SUC
1995,1,3,1,9917.216,297516.48,4,SUC
1995,1,2,2,0,0,4,SUC
1995,2,1,3,2,60,4,SUC
1995,2,3,4,1544.808,46344.24,4,SUC
1995,3,1,5,27461.55,823846.5,4,SUC
1995,3,2,6,1200.992,36029.76,4,SUC
1996,1,3,1,24422.13,732663.9,5,SUC
1996,1,2,2,1,30,5,SUC
1996,2,1,3,0,0,5,SUC
1996,2,3,4,1098.733,32961.99,5,SUC
1996,3,1,5,20547.71,616431.3,5,SUC
1996,3,2,6,1378.624,41358.72,5,SUC
1997,1,3,1,27683.15,830494.5,6,SUC
1997,1,2,2,2,60,6,SUC
1997,2,1,3,0,0,6,SUC
1997,2,3,4,1659.624,49788.72,6,SUC
1997,3,1,5,23678.06,710341.8,6,SUC
1997,3,2,6,1338.745,40162.35,6,SUC
1998,1,3,1,20087.6,602628,7,SUC
1998,1,2,2,2,60,7,SUC
1998,2,1,3,3,90,7,SUC
1998,2,3,4,1191.749,35752.47,7,SUC
1998,3,1,5,65539.14,1966174.2,7,SUC
1998,3,2,6,1560.125,46803.75,7,SUC
1999,1,3,1,57638.55,1729156.5,8,SUC
1999,1,2,2,0,0,8,SUC
1999,2,1,3,0,0,8,SUC
1999,2,3,4,1394.125,41823.75,8,SUC
1999,3,1,5,16330.08,489902.4,8,SUC
1999,3,2,6,1140.996,34229.88,8,SUC
2000,1,3,1,15132.25,453967.5,9,SUC
2000,1,2,2,2,60,9,SUC
2000,2,1,3,0,0,9,SUC
2000,2,3,4,1113.996,33419.88,9,SUC
2000,3,1,5,27724.34,831730.2,9,SUC
2000,3,2,6,1522.498,45674.94,9,SUC
2001,1,3,1,27365.03,820950.9,10,SUC
2001,1,2,2,0,0,10,SUC
2001,2,1,3,2,60,10,SUC
2001,2,3,4,1461,43830,10,SUC
2001,3,1,5,36877.96,1106338.8,10,SUC
2001,3,2,6,1066.624,31998.72,10,SUC
2002,1,3,1,18964.44,568933.2,11,SUC
2002,1,2,2,0,0,11,SUC
2002,2,1,3,0,0,11,SUC
2002,2,3,4,649,19470,11,SUC
2002,3,1,5,29164.72,874941.6,11,SUC
2002,3,2,6,982.9922,29489.766,11,SUC
2003,1,3,1,25859.02,775770.6,12,SUC
2003,1,2,2,0,0,12,SUC
2003,2,1,3,4,120,12,SUC
2003,2,3,4,816,24480,12,SUC
2003,3,1,5,24273.33,728199.9,12,SUC
2003,3,2,6,638.9961,19169.883,12,SUC
2004,1,3,1,44375.34,1331260.2,0,EUA
2004,1,2,2,2,60,0,EUA
2004,2,1,3,4,120,0,EUA
2004,2,3,4,944.9961,28349.883,0,EUA
2004,3,1,5,41137.57,1234127.1,0,EUA
2004,3,2,6,961.8745,28856.235,0,EUA
2005,1,3,1,47344.99,1420349.7,1,EUA
2005,1,2,2,0,0,1,EUA
2005,2,1,3,0,0,1,EUA
2005,2,3,4,1126.314,33789.42,1,EUA
2005,3,1,5,27385.61,821568.3,1,EUA
2005,3,2,6,1199.635,35989.05,1,EUA
2006,1,3,1,28971.63,869148.9,2,EUA
2006,1,2,2,0,0,2,EUA
2006,2,1,3,0,0,2,EUA
2006,2,3,4,1455.729,43671.87,2,EUA
2006,3,1,5,17903.26,537097.8,2,EUA
2006,3,2,6,1090,32700,2,EUA
2007,1,3,1,16067.04,482011.2,3,EUA
2007,1,2,2,0,0,3,EUA
2007,2,1,3,4,120,3,EUA
2007,2,3,4,1120,33600,3,EUA
2007,3,1,5,26008.9,780267,3,EUA
2007,3,2,6,1195.984,35879.52,3,EUA
2008,1,3,1,21341.22,640236.6,4,EUA
2008,1,2,2,0,0,4,EUA
2008,2,1,3,0,0,4,EUA
2008,2,3,4,990.9843,29729.529,4,EUA
2008,3,1,5,25728.9,771867,4,EUA
2008,3,2,6,1385.498,41564.94,4,EUA
2009,1,3,1,28794.38,863831.4,5,EUA
2009,1,2,2,0,0,5,EUA
2009,2,1,3,0,0,5,EUA
2009,2,3,4,1359.012,40770.36,5,EUA
2009,3,1,5,45308.01,1359240.3,5,EUA
2009,3,2,6,1066.569,31997.07,5,EUA
2010,1,3,1,51968.54,1559056.2,6,EUA
2010,1,2,2,0,0,6,EUA
2010,2,1,3,2,60,6,EUA
2010,2,3,4,1249.62,37488.6,6,EUA
2010,3,1,5,45111.74,1353352.2,6,EUA
2010,3,2,6,1286.992,38609.76,6,EUA
2011,1,3,1,46738.95,1402168.5,7,EUA
2011,1,2,2,2,60,7,EUA
2011,2,1,3,3,90,7,EUA
2011,2,3,4,1414.992,42449.76,7,EUA
2011,3,1,5,46886.87,1406606.1,7,EUA
2011,3,2,6,1915.024,57450.72,7,EUA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
